home,away,home shots,away shots,home goals,away goals
ARI,COL,33,35,3,4
VAN,NJD,36,20,2,0
ANA,CGY,29,34,3,2
BUF,WPG,20,26,1,2
NYI,WSH,35,27,3,2
DET,PHI,25,24,5,2
TBL,NYR,29,19,4,3
FLA,CAR,28,33,1,0
PIT,TOR,26,27,4,3
MIN,LAK,28,22,0,4
COL,CHI,29,45,2,3
SJS,CGY,32,19,0,2
NSH,EDM,25,37,1,0
PHI,NYR,26,24,0,3
ANA,CHI,24,38,1,4
WSH,NYI,27,28,5,2
BOS,WPG,38,36,2,1
BUF,MTL,25,31,2,1
NJD,DET,25,32,4,5
PIT,CAR,22,35,2,4
CBJ,VAN,31,30,0,5
FLA,OTT,46,24,3,2
STL,EDM,41,16,4,3
DAL,MIN,45,34,4,5
TOR,WSH,23,37,6,2
MTL,BUF,44,26,3,4
TBL,OTT,32,27,4,1
NYI,NJD,28,35,3,1
NYR,PHI,35,23,5,2
CAR,PIT,34,33,2,3
NSH,CBJ,42,22,2,1
MIN,STL,38,26,2,3
COL,DAL,47,24,5,2
ARI,CGY,26,29,0,3
LAK,CHI,20,25,1,4
SJS,ANA,35,34,6,4
DET,VAN,30,33,5,3
NYR,TBL,35,21,3,6
CBJ,FLA,23,25,2,1
COL,MTL,29,30,3,4
EDM,ARI,27,24,2,5
ANA,BOS,28,34,3,2
BUF,TBL,22,27,2,1
NYI,OTT,28,18,3,2
PIT,NJD,23,29,1,0
WSH,VAN,25,32,3,4
CAR,NSH,25,33,2,1
TOR,DAL,40,38,5,3
DET,FLA,41,31,3,4
CGY,ARI,24,29,5,2
SJS,PHI,27,29,2,1
LAK,BOS,35,31,2,0
MIN,MTL,35,19,2,1
CHI,STL,33,41,4,1
WPG,EDM,26,24,3,2
ANA,PHI,33,35,5,4
PIT,VAN,22,31,0,3
CAR,WSH,30,28,1,2
TOR,NJD,32,26,3,5
OTT,NYI,21,25,1,2
DET,DAL,29,24,5,2
TBL,BUF,35,13,5,0
FLA,CBJ,55,20,3,4
NSH,STL,24,32,4,3
CGY,COL,25,29,4,3
ARI,LAK,26,43,0,4
SJS,BOS,44,24,7,4
MIN,ANA,25,21,4,5
WPG,COL,37,22,6,2
CHI,MTL,36,41,4,3
PIT,OTT,33,29,3,2
LAK,PHI,38,16,1,2
TOR,VAN,28,46,5,2
DET,NYR,34,29,3,2
TBL,CBJ,34,20,1,3
FLA,BUF,37,28,3,2
NJD,WSH,34,29,1,4
NYI,STL,27,40,4,6
NSH,CHI,33,31,1,3
DAL,MTL,29,17,4,1
ARI,BOS,26,33,2,5
CGY,SJS,35,30,2,3
WPG,ANA,30,25,3,4
CAR,DET,35,22,1,3
OTT,VAN,45,33,4,3
EDM,SJS,24,21,2,1
NYR,PIT,29,35,4,3
CAR,NJD,40,16,1,2
STL,FLA,28,34,4,2
BUF,LAK,16,34,1,0
NJD,CHI,24,39,2,3
CBJ,PHI,24,21,3,2
TOR,CGY,29,33,4,1
MTL,VAN,25,16,3,1
TBL,WSH,36,35,3,5
MIN,NYI,30,19,5,4
DAL,WPG,28,32,2,5
COL,NSH,26,36,0,3
SJS,EDM,24,27,5,2
DET,TOR,42,19,1,2
ANA,EDM,34,22,2,1
BOS,CHI,34,21,2,3
BUF,CGY,19,45,4,3
PHI,NJD,36,18,4,1
WSH,CBJ,41,23,2,3
OTT,LAK,35,36,3,5
TBL,CAR,27,30,2,1
STL,NYI,33,28,6,3
COL,WPG,26,33,4,3
ARI,NSH,32,38,1,5
